,id,source_url,xiaoqu_url,total_price,unit_price,down_payment,monthly_cost,lat,lng
74,74,http://cq.lianjia.com/ershoufang/CQSP92384263.html,http://cq.lianjia.com/xiaoqu/3611059553461/,30,6123,9,1115,106.478402,29.557803
75,75,http://cq.lianjia.com/ershoufang/CQSP92079642.html,http://cq.lianjia.com/xiaoqu/3611060402684/,80,7921,24,2972,106.488975,29.560175
76,76,http://cq.lianjia.com/ershoufang/CQSP90417369.html,http://cq.lianjia.com/xiaoqu/3611060457172/,70,7955,21,2601,0,0
77,77,http://cq.lianjia.com/ershoufang/CQSP91080423.html,http://cq.lianjia.com/xiaoqu/3611058134956/,98,7314,29,3641,106.488975,29.560175
78,78,http://cq.lianjia.com/ershoufang/CQSP92046903.html,http://cq.lianjia.com/xiaoqu/3611060388358/,81,7500,24,3009,106.488975,29.560175
79,79,http://cq.lianjia.com/ershoufang/CQSP92054696.html,http://cq.lianjia.com/xiaoqu/3611058134956/,105,6442,31,3901,106.488975,29.560175
80,80,http://cq.lianjia.com/ershoufang/CQSP91903386.html,http://cq.lianjia.com/xiaoqu/3611058219010/,82,9319,24,3046,106.478968,29.563674
81,81,http://cq.lianjia.com/ershoufang/CQSP91992113.html,http://cq.lianjia.com/xiaoqu/3611058134956/,65,6373,19,2415,106.488975,29.560175
82,82,http://cq.lianjia.com/ershoufang/CQSP91848743.html,http://cq.lianjia.com/xiaoqu/3611060457172/,61,6778,18,2266,0,0
83,83,http://cq.lianjia.com/ershoufang/CQSP92067897.html,http://cq.lianjia.com/xiaoqu/3611060457172/,65,7472,19,2415,0,0
84,84,http://cq.lianjia.com/ershoufang/CQSP92019581.html,http://cq.lianjia.com/xiaoqu/3611058134956/,100,7875,30,3715,106.488975,29.560175
85,85,http://cq.lianjia.com/ershoufang/CQSP92416722.html,http://cq.lianjia.com/xiaoqu/3611060388358/,75,8523,22,2786,106.488975,29.560175
86,86,http://cq.lianjia.com/ershoufang/CQSP91635095.html,http://cq.lianjia.com/xiaoqu/3611063096059/,47,7967,14,1746,106.488975,29.560175
87,87,http://cq.lianjia.com/ershoufang/CQSP91705564.html,http://cq.lianjia.com/xiaoqu/3611060457172/,96,8276,28,3566,0,0
88,88,http://cq.lianjia.com/ershoufang/CQSP92053142.html,http://cq.lianjia.com/xiaoqu/3611060457172/,65,8553,19,2415,0,0
89,89,http://cq.lianjia.com/ershoufang/CQSP92420154.html,http://cq.lianjia.com/xiaoqu/3611058219010/,72,11429,21,2675,106.478968,29.563674
90,90,http://cq.lianjia.com/ershoufang/CQSP92418439.html,http://cq.lianjia.com/xiaoqu/3611060457172/,34,7907,10,1263,0,0
91,91,http://cq.lianjia.com/ershoufang/CQSP92389866.html,http://cq.lianjia.com/xiaoqu/3611060401147/,68,8718,20,2526,0,0
92,92,http://cq.lianjia.com/ershoufang/CQSP92412243.html,http://cq.lianjia.com/xiaoqu/3611060388358/,90,7615,27,3344,106.488975,29.560175
93,93,http://cq.lianjia.com/ershoufang/CQSP92372714.html,http://cq.lianjia.com/xiaoqu/3611058134956/,67,6980,20,2489,106.488975,29.560175
94,94,http://cq.lianjia.com/ershoufang/CQSP92414040.html,http://cq.lianjia.com/xiaoqu/3611060401147/,42,8077,12,1560,0,0
95,95,http://cq.lianjia.com/ershoufang/CQSP92404769.html,http://cq.lianjia.com/xiaoqu/3611063775981/,90,10159,27,3344,106.488975,29.560175
96,96,http://cq.lianjia.com/ershoufang/CQSP92418175.html,http://cq.lianjia.com/xiaoqu/3611063775981/,60,7229,18,2229,106.488975,29.560175
97,97,http://cq.lianjia.com/ershoufang/CQSP92384263.html,http://cq.lianjia.com/xiaoqu/3611059553461/,30,6123,9,1115,106.478402,29.557803
98,98,http://cq.lianjia.com/ershoufang/CQSP92079642.html,http://cq.lianjia.com/xiaoqu/3611060402684/,80,7921,24,2972,106.488975,29.560175
99,99,http://cq.lianjia.com/ershoufang/CQSP90417369.html,http://cq.lianjia.com/xiaoqu/3611060457172/,70,7955,21,2601,0,0
100,100,http://cq.lianjia.com/ershoufang/CQSP91080423.html,http://cq.lianjia.com/xiaoqu/3611058134956/,98,7314,29,3641,106.488975,29.560175
101,101,http://cq.lianjia.com/ershoufang/CQSP92046903.html,http://cq.lianjia.com/xiaoqu/3611060388358/,81,7500,24,3009,106.488975,29.560175
102,102,http://cq.lianjia.com/ershoufang/CQSP92054696.html,http://cq.lianjia.com/xiaoqu/3611058134956/,105,6442,31,3901,106.488975,29.560175
103,103,http://cq.lianjia.com/ershoufang/CQSP91903386.html,http://cq.lianjia.com/xiaoqu/3611058219010/,82,9319,24,3046,106.478968,29.563674
104,104,http://cq.lianjia.com/ershoufang/CQSP91992113.html,http://cq.lianjia.com/xiaoqu/3611058134956/,65,6373,19,2415,106.488975,29.560175
105,105,http://cq.lianjia.com/ershoufang/CQSP91848743.html,http://cq.lianjia.com/xiaoqu/3611060457172/,61,6778,18,2266,0,0
106,106,http://cq.lianjia.com/ershoufang/CQSP92067897.html,http://cq.lianjia.com/xiaoqu/3611060457172/,65,7472,19,2415,0,0
107,107,http://cq.lianjia.com/ershoufang/CQSP92019581.html,http://cq.lianjia.com/xiaoqu/3611058134956/,100,7875,30,3715,106.488975,29.560175
108,108,http://cq.lianjia.com/ershoufang/CQSP92416722.html,http://cq.lianjia.com/xiaoqu/3611060388358/,75,8523,22,2786,106.488975,29.560175
109,109,http://cq.lianjia.com/ershoufang/CQSP91635095.html,http://cq.lianjia.com/xiaoqu/3611063096059/,47,7967,14,1746,106.488975,29.560175
110,110,http://cq.lianjia.com/ershoufang/CQSP91705564.html,http://cq.lianjia.com/xiaoqu/3611060457172/,96,8276,28,3566,0,0
111,111,http://cq.lianjia.com/ershoufang/CQSP92053142.html,http://cq.lianjia.com/xiaoqu/3611060457172/,65,8553,19,2415,0,0
112,112,http://cq.lianjia.com/ershoufang/CQSP92420154.html,http://cq.lianjia.com/xiaoqu/3611058219010/,72,11429,21,2675,106.478968,29.563674
113,113,http://cq.lianjia.com/ershoufang/CQSP92418439.html,http://cq.lianjia.com/xiaoqu/3611060457172/,34,7907,10,1263,0,0
114,114,http://cq.lianjia.com/ershoufang/CQSP92389866.html,http://cq.lianjia.com/xiaoqu/3611060401147/,68,8718,20,2526,0,0
115,115,http://cq.lianjia.com/ershoufang/CQSP92412243.html,http://cq.lianjia.com/xiaoqu/3611060388358/,90,7615,27,3344,106.488975,29.560175
116,116,http://cq.lianjia.com/ershoufang/CQSP92372714.html,http://cq.lianjia.com/xiaoqu/3611058134956/,67,6980,20,2489,106.488975,29.560175
117,117,http://cq.lianjia.com/ershoufang/CQSP92414040.html,http://cq.lianjia.com/xiaoqu/3611060401147/,42,8077,12,1560,0,0
118,118,http://cq.lianjia.com/ershoufang/CQSP92404769.html,http://cq.lianjia.com/xiaoqu/3611063775981/,90,10159,27,3344,106.488975,29.560175
119,119,http://cq.lianjia.com/ershoufang/CQSP92418175.html,http://cq.lianjia.com/xiaoqu/3611063775981/,60,7229,18,2229,106.488975,29.560175
120,120,http://cq.lianjia.com/ershoufang/CQSP92384263.html,http://cq.lianjia.com/xiaoqu/3611059553461/,30,6123,9,1115,106.478402,29.557803
121,121,http://cq.lianjia.com/ershoufang/CQSP92079642.html,http://cq.lianjia.com/xiaoqu/3611060402684/,80,7921,24,2972,106.488975,29.560175
122,122,http://cq.lianjia.com/ershoufang/CQSP90417369.html,http://cq.lianjia.com/xiaoqu/3611060457172/,70,7955,21,2601,0,0
123,123,http://cq.lianjia.com/ershoufang/CQSP91080423.html,http://cq.lianjia.com/xiaoqu/3611058134956/,98,7314,29,3641,106.488975,29.560175
124,124,http://cq.lianjia.com/ershoufang/CQSP92046903.html,http://cq.lianjia.com/xiaoqu/3611060388358/,81,7500,24,3009,106.488975,29.560175
125,125,http://cq.lianjia.com/ershoufang/CQSP92054696.html,http://cq.lianjia.com/xiaoqu/3611058134956/,105,6442,31,3901,106.488975,29.560175
126,126,http://cq.lianjia.com/ershoufang/CQSP91903386.html,http://cq.lianjia.com/xiaoqu/3611058219010/,82,9319,24,3046,106.478968,29.563674
127,127,http://cq.lianjia.com/ershoufang/CQSP91992113.html,http://cq.lianjia.com/xiaoqu/3611058134956/,65,6373,19,2415,106.488975,29.560175
128,128,http://cq.lianjia.com/ershoufang/CQSP91848743.html,http://cq.lianjia.com/xiaoqu/3611060457172/,61,6778,18,2266,0,0
129,129,http://cq.lianjia.com/ershoufang/CQSP92067897.html,http://cq.lianjia.com/xiaoqu/3611060457172/,65,7472,19,2415,0,0
130,130,http://cq.lianjia.com/ershoufang/CQSP92019581.html,http://cq.lianjia.com/xiaoqu/3611058134956/,100,7875,30,3715,106.488975,29.560175
131,131,http://cq.lianjia.com/ershoufang/CQSP92416722.html,http://cq.lianjia.com/xiaoqu/3611060388358/,75,8523,22,2786,106.488975,29.560175
132,132,http://cq.lianjia.com/ershoufang/CQSP91635095.html,http://cq.lianjia.com/xiaoqu/3611063096059/,47,7967,14,1746,106.488975,29.560175
133,133,http://cq.lianjia.com/ershoufang/CQSP91705564.html,http://cq.lianjia.com/xiaoqu/3611060457172/,96,8276,28,3566,0,0
134,134,http://cq.lianjia.com/ershoufang/CQSP92053142.html,http://cq.lianjia.com/xiaoqu/3611060457172/,65,8553,19,2415,0,0
135,135,http://cq.lianjia.com/ershoufang/CQSP92420154.html,http://cq.lianjia.com/xiaoqu/3611058219010/,72,11429,21,2675,106.478968,29.563674
136,136,http://cq.lianjia.com/ershoufang/CQSP92418439.html,http://cq.lianjia.com/xiaoqu/3611060457172/,34,7907,10,1263,0,0
137,137,http://cq.lianjia.com/ershoufang/CQSP92389866.html,http://cq.lianjia.com/xiaoqu/3611060401147/,68,8718,20,2526,0,0
138,138,http://cq.lianjia.com/ershoufang/CQSP92412243.html,http://cq.lianjia.com/xiaoqu/3611060388358/,90,7615,27,3344,106.488975,29.560175
