,build_year,lat,lng,total_building,total_house,wy_fee
2046,2006,106.54233,29.564769,7,1127,1.2
2047,2009,106.527189,29.581037,17,1144,0.8
2048,2014,106.516214,29.578442,6,1272,1.8
2049,2009,106.527189,29.581037,5,1902,1.8
2050,0,0,0,6,652,0.0
2051,2006,106.54233,29.564769,7,1127,1.2
2052,2009,106.527189,29.581037,5,1902,1.8
2053,0,106.527189,29.581037,1,396,0.0
2054,2010,106.516214,29.578442,21,570,0.0
2055,2009,106.527189,29.581037,17,1144,0.8
2056,0,106.527324,29.593026,2,1223,0.0
2057,2012,106.506063,29.57726,87,1009,2.8
2058,2005,106.549642,29.587637,5,1822,0.0
2059,2009,106.527189,29.581037,2,1980,0.0
2060,0,106.543372,29.566124,1,180,1.2
2061,0,106.527189,29.581037,2,378,0.0
2062,2006,106.543372,29.566124,2,1600,1.2
2063,2006,106.543372,29.566124,2,1600,1.2
2064,2009,106.527189,29.581037,2,1980,0.0
2065,2009,106.527189,29.581037,5,1902,1.8
2066,2007,106.548901,29.577621,6,1654,0.0
2067,2010,106.516214,29.578442,21,570,0.0
2068,0,0,0,2,384,0.0
2069,0,106.543372,29.566124,1,180,1.2
2070,2011,106.548901,29.577621,12,3248,1.8
2071,2006,106.54233,29.564769,7,1127,1.2
2072,2006,106.54233,29.564769,7,1127,1.2
2073,2009,106.527189,29.581037,17,1144,0.8
2074,2014,106.516214,29.578442,6,1272,1.8
2075,2009,106.527189,29.581037,5,1902,1.8
2076,0,0,0,6,652,0.0
2077,2006,106.54233,29.564769,7,1127,1.2
2078,2009,106.527189,29.581037,5,1902,1.8
2079,0,106.527189,29.581037,1,396,0.0
2080,2010,106.516214,29.578442,21,570,0.0
2081,2009,106.527189,29.581037,17,1144,0.8
2082,0,106.527324,29.593026,2,1223,0.0
2083,2012,106.506063,29.57726,87,1009,2.8
2084,2005,106.549642,29.587637,5,1822,0.0
2085,2009,106.527189,29.581037,2,1980,0.0
2086,0,106.543372,29.566124,1,180,1.2
2087,0,106.527189,29.581037,2,378,0.0
2088,2006,106.543372,29.566124,2,1600,1.2
2089,2006,106.543372,29.566124,2,1600,1.2
